0,1,2,3
2017-10-06,19.1415,15.4503,3.6912
2017-10-05,18.1766,14.5275,3.6490
2017-10-04,16.4015,13.6153,2.7862
2017-10-03,15.3564,12.9187,2.4377
2017-10-02,14.1209,12.3093,1.8116
2017-09-29,12.8944,11.8564,1.0380
2017-09-28,12.1352,11.5969,0.5383
2017-09-27,11.9365,11.4623,0.4742
2017-09-26,11.8168,11.3438,0.4731
2017-09-25,12.5307,11.2255,1.3052
2017-09-22,13.2780,10.8992,2.3788
2017-09-21,13.4725,10.3045,3.1680
2017-09-20,13.6897,9.5125,4.1772
2017-09-19,12.9900,8.4682,4.5218
2017-09-18,12.0699,7.3378,4.7321
2017-09-15,11.0029,6.1548,4.8481
2017-09-14,9.8517,4.9427,4.9089
2017-09-13,8.7083,3.7155,4.9928
2017-09-12,6.8424,2.4673,4.3751
2017-09-11,4.5536,1.3735,3.1801
2017-09-08,2.4183,0.5785,1.8399
2017-09-07,2.3743,0.1185,2.2558
2017-09-06,1.9098,-0.4454,2.3553
2017-09-05,1.2445,-1.0342,2.2787
2017-09-01,1.1601,-1.6039,2.7640
2017-08-31,-0.8685,-2.2949,1.4264
2017-08-30,-2.9462,-2.6515,-0.2947
2017-08-29,-4.1236,-2.5778,-1.5458
2017-08-28,-4.4170,-2.1913,-2.2256
2017-08-25,-4.5174,-1.6349,-2.8825
2017-08-24,-4.4587,-0.9143,-3.5444
2017-08-23,-3.9035,-0.0282,-3.8753
2017-08-22,-3.6543,0.9406,-4.5949
2017-08-21,-4.1455,2.0893,-6.2348
2017-08-18,-2.2542,3.6480,-5.9022
2017-08-17,0.4796,5.1236,-4.6439
2017-08-16,3.5079,6.2845,-2.7766
2017-08-15,3.4429,6.9787,-3.5358
2017-08-14,3.6661,7.8626,-4.1966
2017-08-11,3.7724,8.9118,-5.1394
2017-08-10,6.3499,10.1966,-3.8468
2017-08-09,9.8639,11.1583,-1.2944
2017-08-08,10.5595,11.4819,-0.9224
2017-08-07,11.2022,11.7125,-0.5103
2017-08-04,11.2496,11.8401,-0.5905
2017-08-03,11.5619,11.9877,-0.4258
2017-08-02,12.2679,12.0942,0.1737
2017-08-01,12.4396,12.0508,0.3889
2017-07-31,12.6021,11.9535,0.6486
2017-07-28,13.2422,11.7914,1.4508
2017-07-27,13.6833,11.4287,2.2546
2017-07-26,13.7093,10.8650,2.8443
2017-07-25,13.2976,10.1540,3.1437
2017-07-24,12.6501,9.3681,3.2820
2017-07-21,12.3747,8.5475,3.8272
2017-07-20,11.5754,7.5908,3.9847
2017-07-19,10.2942,6.5946,3.6996
2017-07-18,8.4705,5.6697,2.8008
2017-07-17,7.3656,4.9695,2.3962
2017-07-14,5.9980,4.3704,1.6275
2017-07-13,4.1518,3.9635,0.1883
2017-07-12,2.8999,3.9165,-1.0166
2017-07-11,1.7261,4.1706,-2.4446
2017-07-10,2.0070,4.7818,-2.7748
2017-07-07,2.1429,5.4755,-3.3325
2017-07-06,2.5143,6.3086,-3.7943
2017-07-05,4.5229,7.2572,-2.7343
2017-07-03,4.7002,7.9407,-3.2405
2017-06-30,5.2177,8.7509,-3.5332
2017-06-29,6.3725,9.6342,-3.2617
2017-06-28,8.1314,10.4496,-2.3182
2017-06-27,8.1210,11.0291,-2.9081
2017-06-26,10.1594,11.7562,-1.5967
2017-06-23,10.6086,12.1553,-1.5468
2017-06-22,11.1059,12.5420,-1.4361
2017-06-21,11.9661,12.9011,-0.9350
2017-06-20,12.7769,13.1348,-0.3579
2017-06-19,13.4814,13.2243,0.2571
2017-06-16,12.5116,13.1600,-0.6484
2017-06-15,13.1597,13.3221,-0.1624
2017-06-14,13.8658,13.3627,0.5031
2017-06-13,14.0095,13.2369,0.7725
2017-06-12,13.7416,13.0438,0.6978
2017-06-09,14.3157,12.8694,1.4463
2017-06-08,14.5980,12.5078,2.0902
2017-06-07,14.5402,11.9852,2.5550
2017-06-06,14.3212,11.3465,2.9747
2017-06-05,14.2213,10.6028,3.6184
2017-06-02,13.1975,9.6982,3.4993
2017-06-01,11.3965,8.8234,2.5731
2017-05-31,9.8494,8.1801,1.6693
2017-05-30,9.5906,7.7628,1.8278
2017-05-26,9.0079,7.3058,1.7020
2017-05-25,7.8367,6.8803,0.9564
2017-05-24,6.3042,6.6412,-0.3370
2017-05-23,5.3440,6.7255,-1.3815
2017-05-22,4.6485,7.0708,-2.4223
2017-05-19,4.1412,7.6764,-3.5352
2017-05-18,4.6848,8.5602,-3.8754
2017-05-17,6.9406,9.5291,-2.5885
2017-05-16,10.6036,10.1762,0.4274
2017-05-15,10.6814,10.0693,0.6121
2017-05-12,10.4574,9.9163,0.5411
2017-05-11,11.1821,9.7810,1.4010
2017-05-10,11.5839,9.4308,2.1532
2017-05-09,11.3999,8.8925,2.5075
2017-05-08,11.2752,8.2656,3.0096
2017-05-05,10.7015,7.5132,3.1883
2017-05-04,9.8228,6.7161,3.1067
2017-05-03,9.5531,5.9395,3.6136
2017-05-02,9.2115,5.0361,4.1754
2017-05-01,8.3319,3.9922,4.3397
2017-04-28,7.3772,2.9073,4.4699
2017-04-27,6.4719,1.7898,4.6821
2017-04-26,4.7569,0.6193,4.1376
2017-04-25,2.6332,-0.4151,3.0483
2017-04-24,-0.2338,-1.1772,0.9434
2017-04-21,-2.4175,-1.4131,-1.0045
2017-04-20,-2.5773,-1.1619,-1.4153
2017-04-19,-3.4716,-0.8081,-2.6635
2017-04-18,-2.7636,-0.1422,-2.6213
2017-04-17,-2.2289,0.5131,-2.7420
2017-04-13,-2.2085,1.1986,-3.4072
2017-04-12,-0.1079,2.0504,-2.1583
2017-04-11,0.9478,2.5900,-1.6422
2017-04-10,1.3804,3.0005,-1.6201
2017-04-07,1.5683,3.4055,-1.8372
2017-04-06,1.9503,3.8649,-1.9146
2017-04-05,2.2109,4.3435,-2.1326
2017-04-04,2.9736,4.8767,-1.9030
2017-04-03,3.1698,5.3524,-2.1826
2017-03-31,3.5085,5.8981,-2.3895
2017-03-30,3.4947,6.4954,-3.0007
2017-03-29,2.8826,7.2456,-4.3630
2017-03-28,2.7649,8.3364,-5.5715
2017-03-27,2.8352,9.7292,-6.8941
2017-03-24,4.6125,11.4528,-6.8403
2017-03-23,6.5706,13.1628,-6.5923
2017-03-22,8.7726,14.8109,-6.0383
2017-03-21,11.2021,16.3205,-5.1184
2017-03-20,14.5911,17.6000,-3.0090
2017-03-17,15.7059,18.3523,-2.6464
2017-03-16,16.4137,19.0139,-2.6002
2017-03-15,16.7597,19.6639,-2.9043
2017-03-14,16.5624,20.3900,-3.8276
2017-03-13,18.0867,21.3469,-3.2602
2017-03-10,18.9526,22.1619,-3.2093
2017-03-09,19.8708,22.9643,-3.0935
2017-03-08,21.5407,23.7376,-2.1969
2017-03-07,23.5512,24.2869,-0.7356
2017-03-06,25.2240,24.4708,0.7532
2017-03-03,26.2876,24.2825,2.0051
2017-03-02,26.4675,23.7812,2.6863
2017-03-01,26.4344,23.1096,3.3248
2017-02-28,24.5781,22.2784,2.2997
2017-02-27,25.1421,21.7035,3.4386
2017-02-24,24.8741,20.8438,4.0303
2017-02-23,24.4156,19.8362,4.5794
2017-02-22,23.8347,18.6914,5.1433
2017-02-21,22.8474,17.4056,5.4418
2017-02-17,20.9942,16.0451,4.9491
2017-02-16,19.7714,14.8078,4.9636
2017-02-15,18.3242,13.5669,4.7572
2017-02-14,16.0038,12.3776,3.6262
2017-02-13,13.9976,11.4711,2.5265
2017-02-10,12.1833,10.8395,1.3438
2017-02-09,10.9275,10.5035,0.4240
2017-02-08,10.0036,10.3975,-0.3939
2017-02-07,10.0229,10.4960,-0.4731
2017-02-06,10.0636,10.6143,-0.5507
2017-02-03,10.0222,10.7520,-0.7298
2017-02-02,9.3287,10.9344,-1.6057
2017-02-01,9.9949,11.3358,-1.3409
