timestamp,open,high,low,close,volume,ATR Date,ATR,Boll Date,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI Date,CCI ,EMA 20 Date,EMA20,MA5 Date,MA5,MA10 Date,MA10,MACD Date,MACD Value,MACD Signal,MACD Hist
2/3/10,1100.67,1102.72,1093.97,1097.28,4285450000,2/3/10,14.957,2/3/10,1118.4165,1169.5132,1067.3198,2/3/10,-85.4923,2/3/10,1108.0931,2/3/10,1089.638,2/3/10,1094.288,2/3/10,-8.0369,-4.2415,-3.7954
2/2/10,1090.05,1104.73,1087.96,1103.3199,4749540000,2/2/10,15.3884,2/2/10,1120.3785,1171.0902,1069.6668,2/2/10,-83.5107,2/2/10,1109.2314,2/2/10,1089.682,2/2/10,1098.364,2/2/10,-8.2052,-3.2926,-4.9126
2/1/10,1073.89,1089.38,1073.89,1089.1899,4077610000,2/1/10,15.2821,2/1/10,1121.862,1172.2255,1071.4985,2/1/10,-139.9031,2/1/10,1109.8536,2/1/10,1087.452,2/1/10,1103.055,2/1/10,-8.9156,-2.0645,-6.8511
1/29/10,1087.61,1096.45,1071.59,1073.87,5412850000,1/29/10,15.2645,1/29/10,1123.1575,1171.3801,1074.9349,1/29/10,-166.8433,1/29/10,1112.0287,1/29/10,1088.97,1/29/10,1107.739,1/29/10,-8.2539,-0.3517,-7.9022
1/28/10,1096.9301,1100.22,1078.46,1084.53,5452400000,1/28/10,14.5264,1/28/10,1125.785,1168.3771,1083.193,1/28/10,-151.6237,1/28/10,1116.0455,1/28/10,1092.548,1/28/10,1115.198,1/28/10,-5.7295,1.6238,-7.3534
1/27/10,1091.9399,1099.51,1083.11,1097.5,5319120000,1/27/10,13.97,1/27/10,1127.8685,1166.0308,1089.7062,1/27/10,-138.8902,1/27/10,1119.3629,1/27/10,1098.938,1/27/10,1121.313,1/27/10,-3.5095,3.4622,-6.9717
1/26/10,1095.8,1103.6899,1089.86,1092.17,4731910000,1/26/10,13.7831,1/26/10,1129.3825,1164.9176,1093.8474,1/26/10,-136.3836,1/26/10,1121.6642,1/26/10,1107.046,1/26/10,1125.185,1/26/10,-1.9454,5.2051,-7.1505
1/25/10,1092.4,1102.97,1092.4,1096.78,4481390000,1/25/10,13.7795,1/25/10,1131.098,1162.3342,1099.8618,1/25/10,-129.7207,1/25/10,1124.7689,1/25/10,1118.658,1/25/10,1130.666,1/25/10,0.6218,6.9927,-6.3709
1/22/10,1115.49,1115.49,1090.1801,1091.76,6208650000,1/22/10,13.9771,1/22/10,1132.2885,1159.7944,1104.7826,1/22/10,-118.8204,1/22/10,1127.7151,1/22/10,1126.508,1/22/10,1135.486,1/22/10,3.4202,8.5855,-5.1653
1/21/10,1138.6801,1141.58,1114.84,1116.48,6874290000,1/21/10,13.0292,1/21/10,1133.6015,1155.0929,1112.11,1/21/10,4.692,1/21/10,1131.4998,1/21/10,1137.848,1/21/10,1140.479,1/21/10,7.4532,9.8768,-2.4236
1/20/10,1147.95,1147.95,1129.25,1138.04,4810560000,1/20/10,11.9745,1/20/10,1133.48,1155.3808,1111.5792,1/20/10,72.5682,1/20/10,1133.0809,1/20/10,1143.688,1/20/10,1142.545,1/20/10,9.9755,10.4827,-0.5071
1/19/10,1136.03,1150.45,1135.77,1150.23,4724830000,1/19/10,11.2818,1/19/10,1131.7015,1157.2976,1106.1054,1/19/10,110.044,1/19/10,1132.5588,1/19/10,1143.324,1/19/10,1142.393,1/19/10,10.8546,10.6095,0.2452
1/15/10,1147.72,1147.77,1131.39,1136.03,4758730000,1/15/10,11.0204,1/15/10,1128.994,1157.4713,1100.5167,1/15/10,85.5277,1/15/10,1130.6987,1/15/10,1142.674,1/15/10,1140.669,1/15/10,10.5776,10.5482,0.0295
1/14/10,1145.6801,1150.41,1143.8,1148.46,3915200000,1/14/10,10.5551,1/14/10,1127.6515,1157.1873,1098.1157,1/14/10,137.0308,1/14/10,1130.1375,1/14/10,1144.464,1/14/10,1138.576,1/14/10,11.516,10.5408,0.9752
1/13/10,1137.3101,1148.4,1133.1801,1145.6801,4170360000,1/13/10,10.8585,1/13/10,1125.625,1154.7304,1096.5196,1/13/10,124.3073,1/13/10,1128.2088,1/13/10,1143.11,1/13/10,1136.372,1/13/10,11.2806,10.297,0.9836
1/12/10,1143.8101,1143.8101,1131.77,1136.22,4716160000,1/12/10,10.5231,1/12/10,1124.0465,1152.0329,1096.0601,1/12/10,107.4289,1/12/10,1126.3698,1/12/10,1141.402,1/12/10,1134.424,1/12/10,11.0992,10.0511,1.0481
1/11/10,1145.96,1149.74,1142.02,1146.98,4255780000,1/11/10,10.1625,1/11/10,1122.556,1150.9623,1094.1497,1/11/10,162.6826,1/11/10,1125.3329,1/11/10,1141.462,1/11/10,1133.58,1/11/10,11.6694,9.7891,1.8803
1/8/10,1140.52,1145.39,1136.22,1144.98,4389590000,1/8/10,10.3504,1/8/10,1120.3245,1147.6988,1092.9502,1/8/10,161.912,1/8/10,1123.0543,1/8/10,1138.664,1/8/10,1131.53,1/8/10,11.1318,9.319,1.8128
1/7/10,1136.27,1142.46,1131.3199,1141.6899,5270680000,1/7/10,10.4412,1/7/10,1117.873,1144.7534,1090.9926,1/7/10,161.3666,1/7/10,1120.7463,1/7/10,1132.688,1/7/10,1129.091,1/7/10,10.4874,8.8658,1.6216
1/6/10,1135.71,1139.1899,1133.95,1137.14,4972660000,1/6/10,10.3875,1/6/10,1115.3855,1142.1971,1088.5739,1/6/10,171.0619,1/6/10,1118.5417,1/6/10,1129.634,1/6/10,1126.724,1/6/10,9.8473,8.4604,1.387
1/5/10,1132.66,1136.63,1129.66,1136.52,2491020000,1/5/10,10.7834,1/5/10,1113.691,1139.0323,1088.3497,1/5/10,172.6873,1/5/10,1116.584,1/5/10,1127.446,1/5/10,1124.415,1/5/10,9.3504,8.1136,1.2368
1/4/10,1116.5601,1133.87,1116.5601,1132.99,3991400000,1/4/10,11.0768,1/4/10,1112.164,1135.4129,1088.9151,1/4/10,144.6272,1/4/10,1114.4854,1/4/10,1125.698,1/4/10,1121.01,1/4/10,8.6433,7.8044,0.8389
12/31/09,1126.6,1127.64,1114.8101,1115.1,2076990000,12/31/09,10.485,12/31/09,1110.5105,1132.2548,1088.7662,12/31/09,92.5363,12/31/09,1112.5376,12/31/09,1124.396,12/31/09,1117.319,12/31/09,7.9745,7.5947,0.3797
12/30/09,1125.53,1126.42,1121.9399,1126.42,2277300000,12/30/09,10.3046,12/30/09,1110.2175,1131.8642,1088.5708,12/30/09,149.6976,12/30/09,1112.2679,12/30/09,1125.494,12/30/09,1116.727,12/30/09,8.8263,7.4998,1.3265
12/29/09,1128.55,1130.38,1126.08,1126.2,2491020000,12/29/09,10.7526,12/29/09,1109.3395,1129.6708,1089.0082,12/29/09,191.9289,12/29/09,1110.7782,12/29/09,1123.814,12/29/09,1114.878,12/29/09,8.6326,7.1682,1.4644
