0,1,2,3
2017-09-28,2490.4555,2524.1643,2456.7468
2017-09-27,2487.8320,2523.1578,2452.5063
2017-09-26,2484.7950,2523.2945,2446.2956
2017-09-25,2482.1650,2524.0513,2440.2787
2017-09-22,2479.4845,2524.0906,2434.8785
2017-09-21,2476.3220,2522.9546,2429.6894
2017-09-20,2473.4940,2520.7502,2426.2378
2017-09-19,2470.7075,2515.9701,2425.4450
2017-09-18,2466.7935,2512.4832,2421.1039
2017-09-15,2462.8775,2508.6102,2417.1449
2017-09-14,2459.3665,2503.8545,2414.8786
2017-09-13,2457.9910,2499.5126,2416.4695
2017-09-12,2456.3030,2493.6569,2418.9492
2017-09-11,2454.7710,2487.6538,2421.8883
2017-09-08,2452.4315,2481.9827,2422.8804
2017-09-07,2451.2705,2481.1391,2421.4019
2017-09-06,2451.7165,2482.6454,2420.7877
2017-09-05,2452.1855,2484.2039,2420.1672
2017-09-01,2453.3385,2487.6672,2419.0098
2017-08-31,2453.3525,2487.7193,2418.9858
2017-08-30,2453.3780,2487.7998,2418.9563
2017-08-29,2454.3770,2490.3543,2418.3997
2017-08-28,2455.8795,2492.8775,2418.8815
2017-08-25,2457.1825,2494.2845,2420.0806
2017-08-24,2458.6350,2495.6847,2421.5854
2017-08-23,2460.4575,2497.0416,2423.8734
2017-08-22,2462.1470,2498.6632,2425.6308
2017-08-21,2463.3780,2500.1706,2426.5855
2017-08-18,2465.4550,2498.6192,2432.2909
2017-08-17,2467.8045,2495.5415,2440.0676
2017-08-16,2469.9765,2491.6827,2448.2704
2017-08-15,2470.2625,2492.0134,2448.5116
2017-08-14,2470.0625,2492.0895,2448.0356
2017-08-11,2469.7275,2492.2004,2447.2546
2017-08-10,2470.6250,2489.6588,2451.5912
2017-08-09,2471.1060,2487.0790,2455.1331
2017-08-08,2469.5675,2489.5465,2449.5885
2017-08-07,2467.0980,2494.6098,2439.5863
2017-08-04,2464.4240,2496.1234,2432.7246
2017-08-03,2461.8415,2497.2733,2426.4097
2017-08-02,2458.7210,2500.4088,2417.0332
2017-08-01,2456.4695,2498.7025,2414.2365
2017-07-31,2454.1025,2496.9158,2411.2892
2017-07-28,2451.7580,2495.8819,2407.6340
2017-07-27,2449.1380,2494.3292,2403.9467
2017-07-26,2447.4015,2491.0628,2403.7401
2017-07-25,2444.4790,2487.4209,2401.5370
2017-07-24,2442.5760,2482.8520,2402.2999
2017-07-21,2440.9955,2479.2891,2402.7019
2017-07-20,2439.0935,2474.6090,2403.5780
2017-07-19,2437.2015,2469.0353,2405.3677
2017-07-18,2435.3615,2462.4081,2408.3149
2017-07-17,2435.0040,2460.8694,2409.1385
2017-07-14,2433.7045,2457.0807,2410.3283
2017-07-13,2432.3640,2452.5840,2412.1440
2017-07-12,2431.8685,2451.0049,2412.7321
2017-07-11,2431.7235,2450.5542,2412.8928
2017-07-10,2431.9165,2450.5676,2413.2653
2017-07-07,2432.1335,2450.6714,2413.5956
2017-07-06,2432.5640,2450.8340,2414.2940
2017-07-05,2433.7335,2448.7099,2418.7571
2017-07-03,2433.5730,2448.6654,2418.4805
2017-06-30,2433.9275,2448.9072,2418.9478
2017-06-29,2434.7105,2449.0320,2420.3890
2017-06-28,2435.2285,2448.0072,2422.4499
2017-06-27,2433.7840,2449.8700,2417.6980
2017-06-26,2433.4605,2450.8959,2416.0251
2017-06-23,2432.2980,2451.1270,2413.4690
2017-06-22,2431.1365,2451.1687,2411.1043
2017-06-21,2429.6310,2452.7186,2406.5434
2017-06-20,2427.7715,2454.3587,2401.1842
2017-06-19,2425.6210,2455.6055,2395.6365
2017-06-16,2422.0345,2454.8659,2389.2031
2017-06-15,2418.6630,2459.1845,2378.1415
2017-06-14,2414.8915,2462.9201,2366.8629
