timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,,WVAD,RSI,,TEDRATE,TradeWeightedUSDollarIndex,VIX close
3/8/16,198.4,199.32,199.92,198.21,123974866,68.5188,85.5567,195.296,199.639,197.3694,1970.099,-24.522,58.2152,57.7247,0.33,122.09,18.67
3/9/16,199.38,199.36,199.79,198.43,94801213,52.075,70.9977,195.6849,199.715,197.9874,1976.045,-16.3757,59.9686,59.5523,0.32,121.672,18.34
3/10/16,199.54,199.96,201.07,197.38,156838697,40.5515,53.7151,196.0521,199.668,198.3874,1979.832,-15.0457,60.2618,59.6105,0.31,121.6592,18.05
3/11/16,202.76,201.26,202.81,199.5179,138243024,64.2283,52.2849,196.6909,200.134,199.1545,1987.246,-0.3706,65.7055,65.2806,0.3,121.037,16.5
3/14/16,202.5,202.16,203.04,201.77,74176589,81.3155,62.0318,197.2442,200.516,200.0485,1995.987,-3.9359,64.932,64.5181,0.3,121.458,16.92
3/15/16,202.17,201.36,202.5307,201.05,93298821,91.3892,78.9777,197.7133,201.27,200.4545,1999.745,-8.5211,63.9038,63.3586,0.33,121.8633,16.84
3/16/16,203.34,201.6,203.82,201.55,129303179,89.2116,87.3055,198.2492,202.062,200.8885,2003.822,-4.5758,65.9618,65.3966,0.33,122.0746,14.99
3/17/16,204.63,203.24,205.23,202.77,134143421,88.8905,89.8304,198.8569,203.08,201.374,2008.541,-5.042,68.1201,67.6887,0.33,119.6667,14.44
3/18/16,204.38,204.17,204.78,203.8,138372404,87.2359,88.446,199.3829,203.404,201.769,2013.5,-7.888,67.2304,69.1676,0.31,119.6236,14.02
3/21/16,204.67,204.07,204.94,203.8,72926659,85.2546,87.127,199.8864,203.838,202.177,2018.484,-7.0175,67.7565,69.5053,0.33,119.9578,13.79
3/22/16,204.56,203.76,205.23,203.57,97471939,82.6871,85.0592,200.3315,204.316,202.793,2025.538,-8.535,67.315,68.7823,0.33,119.9827,14.17
3/23/16,203.2092,204.11,204.33,203.01,81052455,62.0833,76.675,200.6056,204.2898,203.1759,2030.283,-25.7427,61.9753,63.6009,0.34,120.771,14.94
3/24/16,203.12,202,203.16,201.74,84360853,46.3962,63.7222,200.8451,203.9878,203.5339,2034.92,-26.879,61.6276,63.2988,0.37,121.0665,14.74
