timestamp,close,open,high,low,volume,ATR,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI ,EMA20,MA5,MA10,MACD Value,MACD Signal,MACD Hist,MOM 6,MOM12,ROC,SlowK,SlowD,WVAD,TNX close
11/23/15,2086.5901,2089.4099,2095.6101,2081.3899,3587980000,21.2573,2079.4405,2122.534,2036.347,61.7925,2067.8181,2078.204,2066.994,12.0231,14.3442,-2.3211,-17.6099,23.0901,-0.8369,87.07,86.1596,-29.4117,2.25
11/20/15,2089.1699,2082.8201,2097.0601,2082.8201,3929600000,21.7986,2078.67,2121.7757,2035.5643,69.5637,2065.8421,2071.524,2066.193,11.6939,14.9245,-3.2306,-36.8901,36.4199,-1.7351,93.0169,78.6227,-28.1286,2.262
11/19/15,2081.24,2083.7,2086.74,2078.76,3628110000,22.2584,2077.969,2120.8241,2035.1139,56.1161,2063.3866,2058.298,2067.196,10.841,15.7321,-4.8911,-49.5801,32.52,-2.3268,78.3917,58.4361,-36.2962,2.248
11/18/15,2083.5801,2051.99,2085.3101,2051.99,3926390000,23.3568,2076.5325,2120.7569,2032.3081,40.471,2061.5073,2051.244,2069.065,10.4021,16.9549,-6.5527,-42.27,31.78,-1.9884,64.4595,38.0785,-33.886,2.269
11/17/15,2050.4399,2053.6699,2066.6899,2045.9,4427350000,22.4712,2073.3005,2123.9706,2022.6303,2.7573,2059.1838,2049.528,2070.938,9.4524,18.5931,-9.1407,-77.3901,9.12,-3.637,32.4571,18.658,-68.0194,2.261
11/16/15,2053.1899,2022.08,2053.22,2019.39,3741240000,22.6005,2072.317,2125.4286,2019.2054,-17.43,2060.1042,2055.784,2076.873,11.477,20.8783,-9.4012,-76.01,13.37,-3.5699,17.3188,12.9844,-65.187,2.273
11/13/15,2023.04,2044.64,2044.64,2022.02,4278750000,21.7367,2071.3405,2126.5014,2016.1795,-34.9281,2060.832,2060.862,2081.959,13.6142,23.2286,-9.6144,-99.6899,-16.2899,-4.6963,6.1981,14.6773,-98.9202,2.28
11/12/15,2045.97,2072.29,2072.29,2045.66,4016370000,21.5664,2071.844,2125.3925,2018.2955,16.2737,2064.8101,2076.094,2087.591,19.2138,25.6322,-6.4184,-75.1301,7.72,-3.542,15.4363,23.9603,-99.5624,2.319
11/11/15,2075,2083.4099,2086.9399,2074.8501,3692410000,20.9685,2070.7385,2127.2111,2014.2659,60.1032,2066.7933,2086.886,2091.935,23.7467,27.2368,-3.4901,-23.48,35.3199,-1.1189,22.3975,33.0923,-71.1614,2.338
11/10/15,2081.72,2077.1899,2083.6699,2069.9099,3821440000,21.6514,2066.7005,2132.204,2001.197,64.0877,2065.9294,2092.348,2093.47,26.2312,28.1093,-1.8781,-17.4001,43.46,-0.8289,34.0471,44.3942,-36.7442,2.322
