timestamp,open,high,low,close,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
5/8/06,127.59,127.61,127.05,127.21,146900,82.7486,83.3532,124.9419,126.916,126.209,-11.087,72.0396,0.4,107.1405,12
5/9/06,127.4,127.94,127.36,127.6,246500,79.2425,82.4565,125.195,127.17,126.513,-7.0539,73.6025,0.4,106.9236,11.99
5/10/06,127.88,128.42,127.78,127.99,329400,76.7282,79.5731,125.4612,127.49,126.832,-8.4479,75.1013,0.47,106.5906,11.78
5/11/06,127.69,128.8,127.56,128.53,236700,81.765,79.2452,125.7535,127.752,127.124,-5.1625,77.0448,0.45,106.5168,12.49
5/12/06,129.18,129.46,128.7,129.44,373500,87.4848,81.9926,126.1046,128.154,127.407,-0.3597,79.8931,0.43,106.8572,14.19
5/15/06,128.3,128.62,127.98,128,442800,71.4059,80.2186,126.2851,128.312,127.614,-29.2585,65.9483,0.46,107.3664,13.57
5/16/06,128.72,128.78,128.27,128.72,121400,63.5663,74.1523,126.517,128.536,127.853,-15.1639,68.8737,0.46,107.2079,13.35
5/17/06,128.71,128.73,127.23,127.69,188200,37.3855,57.4526,126.6287,128.476,127.983,-45.974,60.8235,0.48,107.4709,16.26
5/18/06,128.17,128.51,127.97,128.41,155100,44.8651,48.6056,126.7984,128.452,128.102,-27.2727,63.9919,0.49,107.7306,16.99
5/19/06,127.64,127.95,127.19,127.93,145000,40.0278,40.7595,126.9061,128.15,128.152,-44.868,60.4802,0.5,107.9719,17.18
5/22/06,127.79,129.03,127.75,128.91,122500,64.3113,49.7347,127.097,128.332,128.322,-16.129,64.7352,0.49,108.0257,17.72
5/23/06,128.3,128.93,128.26,128.76,55100,75.1151,59.8181,127.2554,128.34,128.438,-22.8758,63.6063,0.51,107.7616,18.26
5/24/06,128.7,128.72,127.57,128.01,88000,74.4565,71.2943,127.3272,128.404,128.44,-60.166,58.1466,0.52,108.4868,17.36
5/25/06,127.97,128.38,127.85,128.1,68400,59.7826,69.7847,127.4008,128.342,128.397,-56.4315,58.6057,0.51,107.942,15.5
5/26/06,127.93,127.93,127.28,127.49,110500,35.3406,56.5266,127.4093,128.254,128.202,-86.7841,54.2606,0.505,107.9825,14.26
5/30/06,128.62,129.31,128.5,128.9,131000,47.0865,47.4032,127.5513,128.252,128.292,-24.6696,61.387,0.5,107.6903,18.66
