timestamp,close,open,high,low,EMA20,MA5,MA10,SlowK,SlowD,WVAD
3/3/17,2383.1201,2380.9199,2383.8899,2375.3899,2348.2171,2378.878,2370.49,69.1482,72.5267,-22.4483
3/6/17,2375.3101,2375.23,2378.8,2367.98,2350.7974,2379.99,2372.905,52.2631,63.5407,-32.5719
3/7/17,2368.3899,2370.74,2375.1201,2365.51,2352.4729,2380.94,2373.206,34.8421,52.0844,-49.2521
3/8/17,2362.98,2369.8101,2373.0901,2361.01,2353.4735,2374.344,2373.222,17.6227,34.9093,-61.1819
3/9/17,2364.8701,2363.49,2369.0801,2354.54,2354.5589,2370.934,2373.328,16.3847,22.9498,-58.8109
3/10/17,2372.6001,2372.52,2376.8601,2363.04,2356.2771,2368.83,2373.854,38.4929,24.1668,-58.9897
3/13/17,2373.47,2371.5601,2374.4199,2368.52,2357.9145,2368.462,2374.226,64.8171,39.8983,-57.1816
3/14/17,2365.45,2368.55,2368.55,2358.1799,2358.6322,2367.874,2374.407,69.3781,57.5627,-73.8519
3/15/17,2385.26,2370.3401,2390.01,2368.9399,2361.1682,2372.33,2373.337,73.433,69.2094,-32.6752
3/16/17,2381.3799,2387.71,2388.1001,2377.1799,2363.0931,2375.632,2373.283,69.4582,70.7565,-42.2053
3/17/17,2378.25,2383.71,2385.71,2377.6399,2364.5366,2376.762,2372.796,74.183,72.3581,-48.9449
3/20/17,2373.47,2378.24,2379.55,2369.6599,2365.3874,2376.762,2372.612,61.3257,68.3223,-59.2378
3/21/17,2344.02,2379.3201,2381.9299,2341.8999,2363.3524,2372.476,2370.175,38.499,58.0026,-95.9884
3/22/17,2348.45,2343,2351.8101,2336.45,2361.9331,2365.114,2368.722,25.2255,41.6834,-77.5952
3/23/17,2345.96,2345.97,2358.9199,2342.1299,2360.4119,2358.03,2366.831,15.6486,26.4577,-82.2442
3/24/17,2343.98,2350.4199,2356.22,2335.74,2358.8469,2351.176,2363.969,20.1261,20.3334,-84.8167
3/27/17,2341.5901,2329.1101,2344.8999,2322.25,2357.2034,2344.8,2360.781,23.1838,19.6528,-71.458
3/28/17,2358.5701,2339.79,2363.78,2337.6299,2357.3336,2347.71,2360.093,45.9002,29.7367,-46.399
3/29/17,2361.1299,2356.54,2363.3601,2352.9399,2357.6951,2350.246,2357.68,71.16,46.748,-42.6212
3/30/17,2368.0601,2361.3101,2370.4199,2358.5801,2358.6823,2354.666,2356.348,92.0582,69.7061,-32.3937
3/31/17,2362.72,2364.8201,2370.3501,2362.6001,2359.0668,2358.414,2354.795,90.9116,84.7099,-40.2745
4/3/17,2358.8401,2362.3401,2365.8701,2344.73,2359.0452,2361.864,2353.332,81.267,88.0789,-46.0005
4/4/17,2360.1599,2354.76,2360.53,2350.72,2359.1514,2362.182,2354.946,69.5874,80.5886,-42.43
4/5/17,2352.95,2366.5901,2378.3601,2350.52,2358.5608,2360.546,2355.396,49.7298,66.8614,-51.6231
4/6/17,2357.49,2353.79,2364.1599,2348.8999,2358.4588,2358.432,2356.549,40.8155,53.3776,-40.9517
4/7/17,2355.54,2356.5901,2363.76,2350.74,2358.1808,2356.996,2357.705,31.5095,40.6849,-44.219
4/10/17,2357.1599,2357.1599,2366.3701,2351.5,2358.0836,2356.66,2359.262,32.708,35.011,-37.7832
4/11/17,2353.78,2353.9199,2355.22,2337.25,2357.6737,2355.384,2358.783,33.4637,32.5604,-43.8069
4/12/17,2344.9299,2352.1499,2352.72,2341.1799,2356.46,2353.78,2357.163,31.5401,32.5706,-59.5796
4/13/17,2328.95,2341.98,2348.26,2328.95,2353.84,2348.072,2353.252,22.1941,29.066,-88.0593
4/17/17,2349.01,2332.6201,2349.1399,2332.51,2353.38,2346.766,2351.881,26.6603,26.7982,-59.4009
4/18/17,2342.1899,2342.53,2348.3501,2334.54,2352.3143,2343.772,2350.216,34.6691,27.8412,-73.2039
4/19/17,2338.1699,2346.79,2352.6299,2335.05,2350.9672,2340.65,2348.017,47.5985,36.3093,-81.3399
4/20/17,2355.8401,2342.6899,2361.3701,2340.9099,2351.4313,2342.832,2348.306,57.3768,46.5481,-45.5777
4/21/17,2348.6899,2354.74,2356.1799,2344.51,2351.1702,2346.78,2347.426,59.2647,54.7467,-60.0487
4/24/17,2374.1499,2370.3301,2376.98,2369.1899,2353.3588,2351.808,2349.287,77.4458,64.6958,-8.5209
4/25/17,2388.6101,2381.51,2392.48,2381.1499,2356.716,2361.092,2352.432,80.8855,72.532,-6.0914
4/26/17,2387.45,2388.98,2398.1599,2386.78,2359.6431,2370.948,2355.799,89.2953,82.5422,-15.4746
4/27/17,2388.77,2389.7,2392.1001,2382.6799,2362.4171,2377.534,2360.183,85.684,85.2883,-13.5673
4/28/17,2384.2,2393.6799,2393.6799,2382.3601,2364.4916,2384.636,2365.708,71.8676,82.2823,-20.1705
5/1/17,2388.3301,2388.5,2394.49,2384.8301,2366.762,2387.472,2369.64,58.8405,72.1307,-14.2029
5/2/17,2391.1699,2391.05,2392.9299,2385.8201,2369.0865,2387.984,2374.538,49.9276,60.2119,-10.0997
5/3/17,2388.1299,2386.5,2389.8201,2379.75,2370.9002,2388.12,2379.534,51.6073,53.4585,-14.4922
5/4/17,2389.52,2389.79,2391.4299,2380.3501,2372.6735,2388.27,2382.902,59.6309,53.7219,-13.1606
5/5/17,2399.29,2392.3701,2399.29,2389.3799,2375.2084,2391.288,2387.962,74.3779,61.872,0
5/8/17,2399.3799,2399.9399,2401.3601,2393.9199,2377.5104,2393.4979,2390.485,85.7063,73.2384,-2.9863
5/9/17,2396.9199,2401.5801,2403.8701,2392.4399,2379.359,2394.6479,2391.316,87.3406,82.4749,-11.039
5/10/17,2399.6299,2396.79,2399.74,2392.79,2381.2895,2396.9479,2392.534,81.3312,84.7927,-7.1432
5/11/17,2394.4399,2394.8401,2395.72,2381.74,2382.542,2397.9319,2393.101,70.1815,79.6177,-27.1918
5/12/17,2390.8999,2392.4399,2392.4399,2387.1899,2383.3379,2396.2539,2393.7709,60.2502,70.5876,-53.7734
5/15/17,2402.3201,2393.98,2404.05,2393.9399,2385.1458,2396.8419,2395.1699,63.6748,64.7022,-7.1192
5/16/17,2400.6699,2404.55,2405.77,2396.05,2386.6243,2397.5919,2396.1199,70.8043,64.9098,-19.6007
5/17/17,2357.03,2382.95,2384.8701,2356.21,2383.8058,2389.072,2393.01,57.5589,64.0127,-98.3453
5/18/17,2365.72,2354.6899,2375.74,2352.72,2382.0833,2383.328,2390.63,34.9787,54.4473,-75.4948
5/19/17,2381.73,2371.3701,2389.0601,2370.4299,2382.0497,2381.494,2388.874,26.948,39.8285,-45.3158
5/22/17,2394.02,2387.21,2395.46,2386.9199,2383.1897,2379.834,2388.338,52.3468,38.0912,-22.1489
5/23/17,2398.4199,2397.04,2400.8501,2393.8799,2384.6402,2379.384,2388.488,75.8287,51.7079,-13.855
5/24/17,2404.3899,2401.4099,2405.5801,2397.99,2386.5211,2388.856,2388.964,90.1835,72.7863,-2.6016
5/25/17,2415.0701,2409.54,2418.71,2408.01,2389.2401,2398.726,2391.027,95.0534,87.0218,-5.5158
5/26/17,2415.8201,2414.5,2416.6799,2412.2,2391.7715,2405.544,2393.519,93.7062,92.981,-4.3793
5/30/17,2412.9099,2411.6699,2415.26,2409.4299,2393.7847,2409.322,2394.578,86.6704,91.81,-8.7893
5/31/17,2411.8,2415.6299,2415.99,2403.5901,2395.5004,2411.998,2395.691,78.0671,86.1479,-10.4712
6/1/17,2430.0601,2415.6499,2430.0601,2413.54,2398.7918,2417.132,2402.994,81.0973,81.945,0
6/2/17,2439.0701,2431.28,2440.23,2427.71,2402.6278,2421.932,2410.329,87.8284,82.331,-1.3255
6/5/17,2436.1001,2437.8301,2439.55,2434.3201,2405.8157,2425.988,2415.766,95.1876,88.0378,-4.7193
6/6/17,2429.3301,2431.9199,2436.21,2428.1201,2408.0551,2429.2721,2419.297,85.2713,89.4291,-12.4556
6/7/17,2433.1399,2432.03,2435.28,2424.75,2410.4442,2433.54,2422.769,77.4717,85.9769,-8.102
6/8/17,2433.79,2434.27,2439.27,2427.9399,2412.6676,2434.286,2425.709,67.3616,76.7016,-9.2263
6/9/17,2431.77,2436.3899,2446.2,2415.7,2414.4869,2432.826,2427.379,61.5075,68.7803,-24.342
6/12/17,2429.3899,2425.8799,2430.3799,2419.97,2415.9062,2431.484,2428.736,51.9907,60.2866,-32.1293
6/13/17,2440.3501,2434.1499,2441.49,2431.28,2418.2342,2433.688,2431.48,59.4647,57.6543,-12.1341
6/14/17,2437.9199,2443.75,2443.75,2428.3401,2420.109,2434.644,2434.092,66.1859,59.2137,-19.4322
6/15/17,2432.46,2424.1399,2433.95,2418.53,2421.2853,2434.378,2434.332,69.5411,65.0639,-32.246
6/16/17,2433.1499,2431.24,2433.1499,2422.8799,2422.4153,2434.654,2433.74,61.9242,65.8837,-30.6268
6/19/17,2453.46,2442.55,2453.8201,2441.79,2425.3719,2439.468,2435.476,70.6333,67.3662,-0.7169
6/20/17,2437.03,2450.6599,2450.6599,2436.6001,2426.4822,2438.804,2436.246,69.7906,67.4494,-41.6833
6/21/17,2435.6101,2439.3101,2442.23,2430.74,2427.3515,2438.342,2436.493,66.6005,69.0081,-47.77
6/22/17,2434.5,2437.3999,2441.6201,2433.27,2428.0323,2438.75,2436.564,46.1262,60.8391,-50.6821
6/23/17,2438.3,2434.6499,2441.3999,2431.1101,2429.0102,2439.78,2437.217,39.5705,50.7657,-40.7135
6/26/17,2439.0701,2443.3201,2450.4199,2437.03,2429.9683,2436.9021,2438.185,37.3768,41.0245,-38.6935
6/27/17,2419.3799,2436.3401,2440.1499,2419.3799,2428.9599,2433.372,2436.088,24.8579,33.9351,-90.3465
6/28/17,2440.6899,2428.7,2442.97,2428.02,2430.077,2434.388,2436.365,36.8238,33.0195,-34.4441
6/29/17,2419.7,2442.3799,2442.73,2405.7,2429.0887,2431.428,2435.089,33.3198,31.6671,-70.9061
