Close Price,0,1,2,3,4,5,6
888.67,-39355.98282,-157252.6835,771228.0644,-8909799.474,-11175466.65,-11290276.39,-11446285.07
899.24,24763.62493,-1108.143926,28416.15864,1937570.001,2459625.433,2475882.546,2492373.37
873.59,45425.02919,54152.62266,-234880.8421,5580990.657,7037281.651,7098180.245,7173843.168
879.73,11054.81394,-35044.49122,189397.4825,-386732.8719,-461706.4008,-473607.8656,-494257.8232
868.57,6891.673336,-35925.57529,193176.1525,-821784.3688,-1012557.318,-1028555.202,-1053786.44
913.18,91631.76871,163561.5795,-755009.206,13302187.56,16744105.13,16897914.41,17095590.52
904.42,138669.2546,280793.8942,-1312504.94,21331519.53,26835731.8,27086889.78,27412959.26
885.28,55400.06461,77211.79356,-344305.5795,7227680.87,9107673.583,9188318.85,9289870.614
887.88,98783.83597,174591.3221,-807336.1452,14329746.95,18038523.88,18203945.85,18416337.21
871.63,108448.6088,216245.5212,-1006455.371,16496904.14,20754813.8,20948672.7,21200101.9
863.16,77502.64839,147665.2095,-680729.7839,11464039.09,14425626.08,14559519.73,14732609.5
868.15,138929.6745,323697.2039,-1519276.307,22625396.75,28443956.05,28716009.69,29073285.71
872.8,212593.6549,502593.3026,-2370122.844,35069784.87,44086673.14,44509025.91,45064090.11
869.42,141280.5484,312368.2747,-1464575.569,22525102.72,28325257.65,28593972.41,28945342.65
890.64,111378.2483,235429.3272,-1098162.591,17341363.99,21811067.04,22016637.88,22284548.93
903.25,131643.7258,280177.3138,-1310468.09,20627098.39,25943159.71,26187867.22,26506889.53
931.8,124902.2776,264586.2788,-1235858.082,19499874.6,24525822.67,24757022.96,25058361.35
927.45,105731.1965,203975.622,-946763.8469,15847124.22,19940353.78,20125691.97,20365421.67
934.7,174604.7788,374443.0042,-1757639.964,27574968.02,34680977.9,35008362.16,35435304.68
906.65,78493.46023,143540.4126,-659767.9712,11417035.45,14369235.37,14501771.87,14672527.69
909.73,57127.11987,88014.77968,-395715.1279,7706460.91,9706601.005,9793861.043,9904709.308
890.35,53057.57773,80638.3444,-360880.034,7094925.243,8936830.864,9017014.312,9118770.03
870.26,-15908.9148,-89842.17451,449724.9044,-4634687.424,-5806068.666,-5867937.393,-5953387.67
871.79,-57022.64277,-194260.1792,946388.2416,-11709646.86,-14697361.67,-14845255.74,-15044320.06
842.62,-69626.34041,-229095.8871,1111912.879,-13954276.65,-17517003.38,-17692541.76,-17928376.13
843.74,-77015.55819,-270408.552,1309128.064,-15875688.47,-19922081.44,-20123754.05,-20396064.27
850.12,-28677.82529,-141091.5479,693607.7856,-7364288.233,-9228336.2,-9325714.633,-9459724.977
805.22,-107600.6421,-332160.6206,1602006.737,-20672282.41,-25956836.07,-26214874.84,-26560271.08
840.24,-27324.19573,-134559.5544,661892.9145,-7029869.051,-8809317.443,-8902258.371,-9030166.823
827.5,-112583.6399,-339387.2477,1636264.779,-21374567.55,-26841744.65,-27107652.01,-27462969.65
831.95,-87135.07846,-276327.8563,1336136.894,-17035467.85,-21387981.07,-21601327.69,-21887371.96
836.57,-46222.0103,-177226.3211,864944.6725,-10134603.53,-12713429.13,-12843459.21,-13019877.09
845.71,-25076.04733,-118357.8402,584733.6895,-6345977.562,-7954357.517,-8037688.118,-8151980.462
